"wavelength","Geothite","hematite","gypsum","calcite","kaolinite_114","kaolinite_113","montmorillinite_126","monmorillinite_127","illite_121","illite_120","kaol_smect_124","kaol_smect_125"
460,0.0245,0.0202,0.9013018909,0.9259090672,0.6598,0.6980635614,0.6011,0.6006273455,0.5062,0.2808616665,0.3174621806,0.3032196111
461,0.0245,0.0205,0.8992387988,0.9256463653,0.6644,0.6970928539,0.6018,0.5999936755,0.5071,0.2825427255,0.3182587735,0.3032988768
462,0.0246,0.0206,0.8997728376,0.9252812243,0.6662,0.6981646507,0.6022,0.6024295169,0.508,0.2829859512,0.3190309823,0.3035374757
463,0.0247,0.0203,0.902144144,0.9257455331,0.6657,0.7004084026,0.6027,0.6064114015,0.5088,0.2828701426,0.3198870208,0.3041434247
464,0.0247,0.0201,0.9038609885,0.9279579892,0.6666,0.7014715781,0.6036,0.608850502,0.5097,0.2838831588,0.3208843355,0.3048954816
465,0.0247,0.02,0.9044232843,0.9298770171,0.6683,0.7020131971,0.6048,0.6095398056,0.5105,0.2855621512,0.3219621566,0.3056494325
466,0.0248,0.02,0.9044881085,0.9282489802,0.6683,0.704148098,0.6061,0.6099036826,0.5113,0.2863536213,0.3229975208,0.3063179826
467,0.0249,0.0202,0.9043924681,0.9253355395,0.6673,0.7065622804,0.6074,0.6105337044,0.512,0.2866226746,0.3239413863,0.306898524
468,0.0249,0.0201,0.904266716,0.9261511159,0.6677,0.7062682036,0.6088,0.6114519381,0.5126,0.2877159758,0.3247971828,0.3074453679
469,0.025,0.0198,0.9041482251,0.9304429098,0.669,0.7039988656,0.6099,0.6120015755,0.5132,0.289342549,0.3256549281,0.3080891423
470,0.0251,0.0198,0.9040306934,0.934852367,0.6693,0.7025268672,0.6108,0.6113315049,0.5137,0.2903596625,0.3266404264,0.3089655785
471,0.0251,0.02,0.9040069526,0.9362543767,0.6696,0.7028896535,0.6115,0.6106744685,0.5143,0.2908825021,0.3277257077,0.3098027775
472,0.0252,0.0203,0.9041820157,0.9323040693,0.6719,0.7049702401,0.6126,0.6121953174,0.5149,0.291705345,0.3288018919,0.3101627103
473,0.0252,0.0206,0.9041794474,0.9270452463,0.675,0.7074620628,0.6138,0.6149748803,0.5157,0.292904901,0.3298641779,0.3103753098
474,0.0253,0.0206,0.9034600284,0.9274213739,0.6756,0.708543093,0.6147,0.6165053659,0.5165,0.2941364235,0.3309594974,0.3111269983
475,0.0254,0.0204,0.90273718,0.9314629276,0.6749,0.708223968,0.6153,0.6167349266,0.5174,0.2951279256,0.3320285964,0.3120942034
476,0.0255,0.0202,0.903301846,0.932609061,0.6763,0.7075734861,0.6157,0.6169745184,0.5183,0.295700839,0.3329651734,0.3124630314
477,0.0256,0.0201,0.9047652224,0.9314116287,0.6797,0.7073822929,0.6164,0.6175214866,0.5192,0.2961646987,0.3338280063,0.3125370142
478,0.0257,0.0201,0.9058147368,0.9321235514,0.6829,0.7081571937,0.6176,0.6180925645,0.52,0.2970505574,0.3347620973,0.3131943656
479,0.0258,0.0201,0.9058769455,0.9335256703,0.6846,0.7092520932,0.6187,0.6186910274,0.5207,0.2982109449,0.3357934958,0.3144019535
480,0.0259,0.0202,0.9049482445,0.9317444984,0.684,0.70951341,0.619,0.619511488,0.5216,0.299150024,0.3368722669,0.3156086742
481,0.026,0.0204,0.9043335475,0.9291226633,0.683,0.7095477315,0.6189,0.620933004,0.5226,0.2999254478,0.3378952948,0.3165117621
482,0.0261,0.0207,0.9058137686,0.9310038676,0.6845,0.7108144932,0.6193,0.6233237219,0.5238,0.3008908283,0.3387474601,0.3169996149
483,0.0263,0.0208,0.9081593639,0.9356463195,0.6881,0.7128175624,0.6202,0.6258308651,0.5251,0.3020567592,0.3395076301,0.3173808753
484,0.0264,0.0207,0.908597208,0.9376681877,0.6916,0.7140233781,0.6209,0.6270276232,0.5264,0.3032398382,0.3403554384,0.3181586755
485,0.0266,0.0204,0.9067911407,0.9374988589,0.6939,0.7141656503,0.6214,0.6269961088,0.5277,0.3043663328,0.3413283949,0.3192995776
486,0.0268,0.0203,0.903923417,0.9385915966,0.6944,0.713791575,0.6216,0.6266565022,0.5289,0.3054252116,0.3423700649,0.3204740202
487,0.027,0.0205,0.9018882799,0.9399379556,0.6946,0.7140466458,0.622,0.6263457748,0.53,0.3063695464,0.3433276806,0.3215786024
488,0.0272,0.0207,0.9027008306,0.9383143884,0.6962,0.7161403717,0.6232,0.6260748078,0.531,0.3071593519,0.3440210384,0.3226348722
489,0.0274,0.0208,0.9054071102,0.9350410138,0.6985,0.7183633177,0.6245,0.6261059815,0.5321,0.3080498814,0.3445660116,0.3235535879
490,0.0276,0.0207,0.9074976507,0.9337640081,0.6996,0.7177326106,0.6249,0.6267966041,0.5333,0.3094003911,0.3452268088,0.3242152197
491,0.0278,0.0204,0.9084967167,0.9342958547,0.7003,0.7159014162,0.6248,0.6279265911,0.5345,0.3108462571,0.3459936171,0.3248721418
492,0.028,0.0205,0.9090833322,0.9344608409,0.7033,0.7167743267,0.6256,0.6289604132,0.5357,0.3116994374,0.3467081688,0.3259419838
493,0.0283,0.0206,0.9093491619,0.9350896215,0.7076,0.7191633273,0.6272,0.6296300287,0.5369,0.3123499339,0.3473601786,0.3272809793
494,0.0286,0.0207,0.9090906639,0.9384198918,0.7105,0.7193215506,0.6286,0.6299135011,0.5381,0.313707737,0.3480233888,0.3284388496
495,0.0288,0.0207,0.9087248352,0.9427486635,0.7117,0.7182786587,0.6298,0.6306756625,0.5394,0.3154598426,0.3487260567,0.329233115
496,0.0291,0.0206,0.9089400323,0.9443388287,0.7125,0.7194566644,0.6312,0.6331226634,0.5407,0.3166681682,0.3494725861,0.3296877628
497,0.0294,0.0206,0.9094234644,0.9425648281,0.714,0.7216829917,0.6325,0.6366029152,0.5421,0.3174309921,0.3503047681,0.3303031378
